[2024/04/26 16:19:28] start=0, train=5295, val=1300, host=kverulant, batch=4
[2024/04/26 16:19:28] batch=8, config='MaskFlownet_sintel_short.yaml', dataset_cfg='movingcables.yaml', chairs_hdd=False, shard=1, gpu_device='0', checkpoint='8caNov12-1532', clear_steps=True, network='MaskFlownet', debug=False, valid=False, predict=False, resize=''
[2024/04/26 16:19:38] steps=1, epe=1.5822157709491749, total_time=0.00
[2024/04/26 16:20:33] steps=1, movingcables=0.9053429365158081
[2024/04/26 16:20:33] steps=2, epe=1.0820821932082667, total_time=64.33
[2024/04/26 16:20:33] steps=3, epe=1.307919360834169, total_time=31.40
[2024/04/26 16:20:33] steps=4, epe=1.2503901744208152, total_time=20.46
[2024/04/26 16:20:33] steps=5, epe=1.4914784704869852, total_time=15.00
[2024/04/26 16:20:33] steps=6, epe=1.7763704952271455, total_time=11.73
[2024/04/26 16:20:34] steps=7, epe=1.629866270089505, total_time=9.55
[2024/04/26 16:20:34] steps=8, epe=1.4868368590104357, total_time=8.00
[2024/04/26 16:20:34] steps=9, epe=1.3738342164607487, total_time=6.84
[2024/04/26 16:20:34] steps=10, epe=1.396624943455242, total_time=5.94
[2024/04/26 16:20:34] steps=11, epe=1.3136938239198852, total_time=5.23
[2024/04/26 16:20:35] steps=12, epe=1.2876458925652337, total_time=4.64
[2024/04/26 16:20:35] steps=13, epe=2.4377416940396763, total_time=4.16
[2024/04/26 16:20:35] steps=14, epe=2.2761744068263545, total_time=3.75
[2024/04/26 16:20:35] steps=15, epe=2.29532697710036, total_time=3.40
[2024/04/26 16:20:35] steps=16, epe=2.1325211622707023, total_time=3.11
[2024/04/26 16:20:36] steps=17, epe=2.122590285184009, total_time=2.85
[2024/04/26 16:20:36] steps=18, epe=2.5674157812529073, total_time=2.62
[2024/04/26 16:20:36] steps=19, epe=2.4188401992643636, total_time=2.42
[2024/04/26 16:20:36] steps=20, epe=2.6255780731421994, total_time=2.24
[2024/04/26 16:20:42] steps=50, epe=2.6635786837680637, total_time=0.49
[2024/04/26 16:20:52] steps=100, epe=2.5359493263308717, total_time=0.22
[2024/04/26 16:21:02] steps=150, epe=2.538220849840998, total_time=0.20
[2024/04/26 16:21:11] steps=200, epe=2.6203302138681, total_time=0.20
[2024/04/26 16:21:21] steps=250, epe=2.98419362644297, total_time=0.20
[2024/04/26 16:21:31] steps=300, epe=2.812291414700576, total_time=0.20
[2024/04/26 16:21:41] steps=350, epe=3.1044971170329303, total_time=0.20
[2024/04/26 16:21:51] steps=400, epe=3.374832083248734, total_time=0.20
[2024/04/26 16:22:00] steps=450, epe=3.3247798596216662, total_time=0.20
[2024/04/26 16:22:10] steps=500, epe=3.229217506846177, total_time=0.20
[2024/04/26 16:22:20] steps=550, epe=3.076993726918979, total_time=0.20
[2024/04/26 16:22:30] steps=600, epe=2.927222477207323, total_time=0.20
[2024/04/26 16:22:40] steps=650, epe=2.8111264013653474, total_time=0.20
[2024/04/26 16:22:50] steps=700, epe=2.6765788434836653, total_time=0.20
[2024/04/26 16:23:00] steps=750, epe=2.536734868686587, total_time=0.20
[2024/04/26 16:23:10] steps=800, epe=2.474435628539702, total_time=0.20
[2024/04/26 16:23:20] steps=850, epe=2.5347613545572423, total_time=0.20
[2024/04/26 16:23:30] steps=900, epe=2.448522609459493, total_time=0.20
[2024/04/26 16:23:40] steps=950, epe=2.370851856757428, total_time=0.20
[2024/04/26 16:23:49] steps=1000, epe=2.285510566474144, total_time=0.20
[2024/04/26 16:23:59] steps=1050, epe=2.278824247016282, total_time=0.20
[2024/04/26 16:24:09] steps=1100, epe=2.4961323207705886, total_time=0.20
[2024/04/26 16:24:19] steps=1150, epe=2.410389196529195, total_time=0.20
[2024/04/26 16:24:29] steps=1200, epe=2.5150783901325564, total_time=0.20
[2024/04/26 16:24:39] steps=1250, epe=2.4292108729696307, total_time=0.20
[2024/04/26 16:24:49] steps=1300, epe=2.5407811036649606, total_time=0.20
[2024/04/26 16:24:59] steps=1350, epe=2.7632752232068327, total_time=0.20
[2024/04/26 16:25:09] steps=1400, epe=2.6378655268755113, total_time=0.20
[2024/04/26 16:25:19] steps=1450, epe=2.5889122812753516, total_time=0.20
[2024/04/26 16:25:29] steps=1500, epe=2.4885393208663404, total_time=0.20
[2024/04/26 16:25:39] steps=1550, epe=2.3899993275509845, total_time=0.20
[2024/04/26 16:25:49] steps=1600, epe=2.3415812597157277, total_time=0.20
[2024/04/26 16:25:59] steps=1650, epe=2.2564646217917033, total_time=0.20
[2024/04/26 16:26:09] steps=1700, epe=2.1769267433360406, total_time=0.20
[2024/04/26 16:26:19] steps=1750, epe=2.1149092464352317, total_time=0.20
[2024/04/26 16:26:29] steps=1800, epe=2.033579709830608, total_time=0.20
[2024/04/26 16:26:39] steps=1850, epe=2.103069492186734, total_time=0.20
[2024/04/26 16:26:49] steps=1900, epe=2.0094004562073233, total_time=0.20
[2024/04/26 16:26:59] steps=1950, epe=1.9546569604190507, total_time=0.20
[2024/04/26 16:27:09] steps=2000, epe=1.9051904703982592, total_time=0.20
[2024/04/26 16:27:19] steps=2050, epe=1.8320192429211102, total_time=0.20
[2024/04/26 16:27:29] steps=2100, epe=1.814571911976605, total_time=0.20
[2024/04/26 16:27:39] steps=2150, epe=1.7792681640900228, total_time=0.20
[2024/04/26 16:27:49] steps=2200, epe=1.7159386245262869, total_time=0.20
[2024/04/26 16:27:59] steps=2250, epe=1.8690832479292618, total_time=0.20
[2024/04/26 16:28:09] steps=2300, epe=1.8095735868869023, total_time=0.20
[2024/04/26 16:28:19] steps=2350, epe=1.788533445719253, total_time=0.20
[2024/04/26 16:28:29] steps=2400, epe=1.743214236689382, total_time=0.20
[2024/04/26 16:28:39] steps=2450, epe=1.6924083290466696, total_time=0.20
[2024/04/26 16:28:49] steps=2500, epe=2.115980676256298, total_time=0.20
