[2023/05/18 15:04:02] start=0, train=2875, val=448, host=dgx-2.cluster, batch=4
[2023/05/18 15:04:02] batch=8, config='MaskFlownetProb_sintel_noq.yaml', dataset_cfg='sintel_kitti2015_hd1k.yaml', chairs_hdd=False, shard=1, gpu_device='0,1', checkpoint='7a0May17-1136', clear_steps=True, network='MaskFlownetProb', debug=False, valid=False, predict=False, resize=''
[2023/05/18 15:04:33] steps=1, epe=5.747937147848211, total_time=0.00
[2023/05/18 15:05:29] steps=1, sintel.clean=2.1703083515167236, sintel.final=4.185638904571533
[2023/05/18 15:05:30] steps=2, epe=4.224644078973873, total_time=87.19
[2023/05/18 15:05:30] steps=3, epe=3.0900129430973404, total_time=42.66
[2023/05/18 15:05:30] steps=4, epe=2.553412828771462, total_time=27.79
[2023/05/18 15:05:30] steps=5, epe=2.5685264370614216, total_time=20.34
[2023/05/18 15:05:30] steps=6, epe=2.2128586026788475, total_time=15.88
[2023/05/18 15:05:31] steps=7, epe=2.0136545884367805, total_time=12.91
[2023/05/18 15:05:31] steps=8, epe=1.793196633673829, total_time=10.80
[2023/05/18 15:05:31] steps=9, epe=1.7450922781563332, total_time=9.22
[2023/05/18 15:05:31] steps=10, epe=1.581245942675639, total_time=7.99
[2023/05/18 15:05:31] steps=11, epe=1.8293535037261976, total_time=7.01
[2023/05/18 15:05:31] steps=12, epe=1.6589622146303142, total_time=6.22
[2023/05/18 15:05:31] steps=13, epe=1.5883510860609806, total_time=5.56
[2023/05/18 15:05:32] steps=14, epe=1.6855190302888148, total_time=5.00
[2023/05/18 15:05:32] steps=15, epe=1.5791201097148608, total_time=4.53
[2023/05/18 15:05:32] steps=16, epe=1.5540085319228947, total_time=4.12
[2023/05/18 15:05:32] steps=17, epe=1.5096440464654544, total_time=3.77
[2023/05/18 15:05:32] steps=18, epe=1.6676845312372925, total_time=3.45
[2023/05/18 15:05:32] steps=19, epe=1.5712956928548898, total_time=3.18
[2023/05/18 15:05:33] steps=20, epe=1.6558915717159277, total_time=2.94
[2023/05/18 15:05:37] steps=50, epe=1.7892559077658103, total_time=0.56
[2023/05/18 15:05:44] steps=100, epe=2.0065945551985465, total_time=0.18
[2023/05/18 15:05:52] steps=150, epe=2.0392032777844973, total_time=0.15
[2023/05/18 15:05:59] steps=200, epe=1.9186862134538694, total_time=0.15
[2023/05/18 15:06:07] steps=250, epe=1.8513873044851243, total_time=0.15
[2023/05/18 15:06:14] steps=300, epe=1.8268680253038698, total_time=0.15
[2023/05/18 15:06:21] steps=350, epe=1.7264504613628135, total_time=0.15
[2023/05/18 15:06:29] steps=400, epe=1.6859254499437148, total_time=0.15
[2023/05/18 15:06:36] steps=450, epe=1.6423371328154022, total_time=0.15
[2023/05/18 15:06:43] steps=500, epe=1.5622321377526858, total_time=0.15
[2023/05/18 15:06:51] steps=550, epe=1.6448308752094059, total_time=0.15
[2023/05/18 15:06:58] steps=600, epe=1.5743588006687717, total_time=0.15
[2023/05/18 15:07:06] steps=650, epe=1.5204382387251758, total_time=0.15
[2023/05/18 15:07:13] steps=700, epe=1.4492835383781661, total_time=0.15
[2023/05/18 15:07:20] steps=750, epe=1.3840529814413165, total_time=0.15
[2023/05/18 15:07:28] steps=800, epe=1.337235283528028, total_time=0.15
[2023/05/18 15:07:35] steps=850, epe=1.3042188915449136, total_time=0.15
[2023/05/18 15:07:42] steps=900, epe=1.2726354462791327, total_time=0.15
[2023/05/18 15:07:50] steps=950, epe=1.216093452599328, total_time=0.15
[2023/05/18 15:07:57] steps=1000, epe=1.1890561092627272, total_time=0.15
[2023/05/18 15:08:04] steps=1050, epe=1.2055269674241513, total_time=0.15
[2023/05/18 15:08:12] steps=1100, epe=1.1551982463139483, total_time=0.15
[2023/05/18 15:08:19] steps=1150, epe=1.109394187159979, total_time=0.15
[2023/05/18 15:08:27] steps=1200, epe=1.1823563721375283, total_time=0.15
[2023/05/18 15:08:34] steps=1250, epe=1.1591571020024753, total_time=0.15
[2023/05/18 15:08:41] steps=1300, epe=1.1208856909861695, total_time=0.15
[2023/05/18 15:08:49] steps=1350, epe=1.0846221073584945, total_time=0.15
[2023/05/18 15:08:56] steps=1400, epe=1.10822444790108, total_time=0.15
[2023/05/18 15:09:03] steps=1450, epe=1.1036776808447113, total_time=0.15
[2023/05/18 15:09:11] steps=1500, epe=1.143645227404055, total_time=0.15
[2023/05/18 15:09:18] steps=1550, epe=1.1068100041538134, total_time=0.15
[2023/05/18 15:09:25] steps=1600, epe=1.089801572806932, total_time=0.15
[2023/05/18 15:09:33] steps=1650, epe=1.0887238206770415, total_time=0.15
[2023/05/18 15:09:40] steps=1700, epe=1.0451479981353642, total_time=0.15
[2023/05/18 15:09:47] steps=1750, epe=1.0394483603748597, total_time=0.15
[2023/05/18 15:09:55] steps=1800, epe=1.0017093034688342, total_time=0.15
[2023/05/18 15:10:02] steps=1850, epe=0.9767216808408168, total_time=0.15
[2023/05/18 15:10:10] steps=1900, epe=0.9428034723651367, total_time=0.15
[2023/05/18 15:10:17] steps=1950, epe=0.910552212635467, total_time=0.15
[2023/05/18 15:10:24] steps=2000, epe=0.8926518057280446, total_time=0.15
[2023/05/18 15:10:32] steps=2050, epe=0.8746717364504707, total_time=0.15
[2023/05/18 15:10:39] steps=2100, epe=0.8829934873768159, total_time=0.15
[2023/05/18 15:10:46] steps=2150, epe=0.8972028599218728, total_time=0.15
[2023/05/18 15:10:54] steps=2200, epe=0.8772259591987812, total_time=0.15
[2023/05/18 15:11:01] steps=2250, epe=1.1183400122927416, total_time=0.15
[2023/05/18 15:11:09] steps=2300, epe=1.1223507665489758, total_time=0.15
[2023/05/18 15:11:16] steps=2350, epe=1.1169600657549397, total_time=0.15
[2023/05/18 15:11:23] steps=2400, epe=1.0816962322248143, total_time=0.15
[2023/05/18 15:11:31] steps=2450, epe=1.0463226733089663, total_time=0.15
[2023/05/18 15:11:38] steps=2500, epe=1.0353999544459827, total_time=0.15
[2023/05/18 15:11:59] steps=2500, sintel.clean=2.39668607711792, sintel.final=3.640770435333252
[2023/05/18 15:12:07] steps=2550, epe=1.019151475340912, total_time=0.23
[2023/05/18 15:12:14] steps=2600, epe=1.0311203294376405, total_time=0.15
[2023/05/18 15:12:22] steps=2650, epe=1.0803477233002179, total_time=0.15
[2023/05/18 15:12:29] steps=2700, epe=1.0434407771602423, total_time=0.15
[2023/05/18 15:12:36] steps=2750, epe=1.040076431834635, total_time=0.15
[2023/05/18 15:12:44] steps=2800, epe=1.120401021652703, total_time=0.15
[2023/05/18 15:12:51] steps=2850, epe=1.0901066342978458, total_time=0.15
[2023/05/18 15:12:58] steps=2900, epe=1.1935304229533985, total_time=0.15
[2023/05/18 15:13:06] steps=2950, epe=1.1896851473876588, total_time=0.15
[2023/05/18 15:13:13] steps=3000, epe=1.1505747220049052, total_time=0.15
[2023/05/18 15:13:21] steps=3050, epe=1.1169453071414952, total_time=0.15
[2023/05/18 15:13:28] steps=3100, epe=1.087751523050882, total_time=0.15
[2023/05/18 15:13:35] steps=3150, epe=1.1618128047894136, total_time=0.15
[2023/05/18 15:13:43] steps=3200, epe=1.1256162200310043, total_time=0.15
[2023/05/18 15:13:50] steps=3250, epe=1.1006740156323482, total_time=0.15
[2023/05/18 15:13:57] steps=3300, epe=1.063268198145108, total_time=0.15
[2023/05/18 15:14:05] steps=3350, epe=1.03077608033586, total_time=0.15
[2023/05/18 15:14:12] steps=3400, epe=1.0624169820263192, total_time=0.15
[2023/05/18 15:14:19] steps=3450, epe=1.0808332007217474, total_time=0.15
[2023/05/18 15:14:27] steps=3500, epe=1.0503544909090035, total_time=0.15
[2023/05/18 15:14:34] steps=3550, epe=1.0412216055573862, total_time=0.15
[2023/05/18 15:14:42] steps=3600, epe=1.0222952491311308, total_time=0.15
[2023/05/18 15:14:49] steps=3650, epe=0.9913004256958756, total_time=0.15
[2023/05/18 15:14:56] steps=3700, epe=0.9619707085767761, total_time=0.15
[2023/05/18 15:15:04] steps=3750, epe=0.9423448551366991, total_time=0.15
[2023/05/18 15:15:11] steps=3800, epe=0.9285480190295645, total_time=0.15
[2023/05/18 15:15:18] steps=3850, epe=0.9588451372608289, total_time=0.15
[2023/05/18 15:15:26] steps=3900, epe=0.9280082939579402, total_time=0.15
[2023/05/18 15:15:33] steps=3950, epe=0.9245659826297261, total_time=0.15
[2023/05/18 15:15:41] steps=4000, epe=0.9659943531111804, total_time=0.15
[2023/05/18 15:15:48] steps=4050, epe=0.9536461233454874, total_time=0.15
[2023/05/18 15:15:55] steps=4100, epe=0.9338419705219031, total_time=0.15
[2023/05/18 15:16:03] steps=4150, epe=0.9222248780574036, total_time=0.15
[2023/05/18 15:16:10] steps=4200, epe=0.8917249298321537, total_time=0.15
[2023/05/18 15:16:17] steps=4250, epe=0.8670562952475356, total_time=0.15
[2023/05/18 15:16:25] steps=4300, epe=0.9693598435555598, total_time=0.15
[2023/05/18 15:16:32] steps=4350, epe=1.038444807523021, total_time=0.15
[2023/05/18 15:16:39] steps=4400, epe=1.0513624093656626, total_time=0.15
[2023/05/18 15:16:47] steps=4450, epe=1.027781276851084, total_time=0.15
[2023/05/18 15:16:54] steps=4500, epe=0.9979319523726291, total_time=0.15
[2023/05/18 15:17:01] steps=4550, epe=1.0376915512330382, total_time=0.15
[2023/05/18 15:17:09] steps=4600, epe=1.0396156612758936, total_time=0.15
[2023/05/18 15:17:16] steps=4650, epe=1.0153387154894888, total_time=0.15
[2023/05/18 15:17:24] steps=4700, epe=1.0277776806736874, total_time=0.15
[2023/05/18 15:17:31] steps=4750, epe=1.0717278284197582, total_time=0.15
[2023/05/18 15:17:38] steps=4800, epe=1.0458902594984525, total_time=0.15
[2023/05/18 15:17:46] steps=4850, epe=1.0118293549001305, total_time=0.15
[2023/05/18 15:17:53] steps=4900, epe=1.0006682064387067, total_time=0.15
[2023/05/18 15:18:00] steps=4950, epe=0.9888758572612343, total_time=0.15
[2023/05/18 15:18:08] steps=5000, epe=0.9622028486980029, total_time=0.15
[2023/05/18 15:18:30] steps=5000, sintel.clean=2.355454206466675, sintel.final=3.623945713043213
[2023/05/18 15:18:39] steps=5050, epe=0.9310972265282352, total_time=0.24
[2023/05/18 15:18:46] steps=5100, epe=0.9060318727636059, total_time=0.15
[2023/05/18 15:18:54] steps=5150, epe=0.886878303098785, total_time=0.15
[2023/05/18 15:19:01] steps=5200, epe=0.889554639844682, total_time=0.15
[2023/05/18 15:19:08] steps=5250, epe=0.9732253078463322, total_time=0.15
[2023/05/18 15:19:16] steps=5300, epe=1.0067972544971808, total_time=0.15
[2023/05/18 15:19:23] steps=5350, epe=0.992812439839871, total_time=0.15
[2023/05/18 15:19:31] steps=5400, epe=0.9736474019805123, total_time=0.15
[2023/05/18 15:19:38] steps=5450, epe=0.9538149236642907, total_time=0.15
[2023/05/18 15:19:45] steps=5500, epe=1.0214386099579948, total_time=0.15
[2023/05/18 15:19:53] steps=5550, epe=1.0031525112797497, total_time=0.15
[2023/05/18 15:20:00] steps=5600, epe=0.9979717409297645, total_time=0.15
[2023/05/18 15:20:08] steps=5650, epe=0.9821043665475976, total_time=0.15
[2023/05/18 15:20:15] steps=5700, epe=0.9934184139762754, total_time=0.15
[2023/05/18 15:20:22] steps=5750, epe=0.976773628838071, total_time=0.15
[2023/05/18 15:20:30] steps=5800, epe=0.9673971382435401, total_time=0.15
[2023/05/18 15:20:37] steps=5850, epe=0.9470192468490919, total_time=0.15
[2023/05/18 15:20:45] steps=5900, epe=0.9240369094289085, total_time=0.15
[2023/05/18 15:20:52] steps=5950, epe=0.9001097349463042, total_time=0.15
[2023/05/18 15:20:59] steps=6000, epe=0.8970496453144896, total_time=0.15
[2023/05/18 15:21:07] steps=6050, epe=0.993424260627893, total_time=0.15
[2023/05/18 15:21:14] steps=6100, epe=0.9611453196526338, total_time=0.15
[2023/05/18 15:21:21] steps=6150, epe=0.998237595523108, total_time=0.15
[2023/05/18 15:21:29] steps=6200, epe=0.9757976536422321, total_time=0.15
[2023/05/18 15:21:36] steps=6250, epe=0.9546932131091018, total_time=0.15
[2023/05/18 15:21:43] steps=6300, epe=1.0177035926209281, total_time=0.15
[2023/05/18 15:21:51] steps=6350, epe=1.342198897212926, total_time=0.15
[2023/05/18 15:21:58] steps=6400, epe=1.2855175254588818, total_time=0.15
[2023/05/18 15:22:06] steps=6450, epe=1.2648283712931916, total_time=0.15
[2023/05/18 15:22:13] steps=6500, epe=1.2264803264582993, total_time=0.15
[2023/05/18 15:22:20] steps=6550, epe=1.188525523649826, total_time=0.15
[2023/05/18 15:22:28] steps=6600, epe=1.1762756892331885, total_time=0.15
[2023/05/18 15:22:35] steps=6650, epe=1.1920673685630456, total_time=0.15
[2023/05/18 15:22:42] steps=6700, epe=1.2397507299291837, total_time=0.15
[2023/05/18 15:22:50] steps=6750, epe=1.1916834458623853, total_time=0.15
[2023/05/18 15:22:57] steps=6800, epe=1.3217085934889474, total_time=0.15
[2023/05/18 15:23:05] steps=6850, epe=1.3665207751006314, total_time=0.15
[2023/05/18 15:23:12] steps=6900, epe=1.4370826056277985, total_time=0.15
[2023/05/18 15:23:19] steps=6950, epe=1.410324706344494, total_time=0.15
[2023/05/18 15:23:27] steps=7000, epe=1.3782540236702994, total_time=0.15
[2023/05/18 15:23:34] steps=7050, epe=1.3192778921255612, total_time=0.15
[2023/05/18 15:23:41] steps=7100, epe=1.286168060333703, total_time=0.15
[2023/05/18 15:23:49] steps=7150, epe=1.5814027625072002, total_time=0.15
[2023/05/18 15:23:56] steps=7200, epe=1.5374355474294747, total_time=0.15
[2023/05/18 15:24:04] steps=7250, epe=1.540335888974843, total_time=0.15
[2023/05/18 15:24:11] steps=7300, epe=1.4755353336370793, total_time=0.15
[2023/05/18 15:24:18] steps=7350, epe=1.4251225861986816, total_time=0.15
[2023/05/18 15:24:26] steps=7400, epe=1.4203938201891513, total_time=0.15
[2023/05/18 15:24:33] steps=7450, epe=1.3717407351768391, total_time=0.15
[2023/05/18 15:24:40] steps=7500, epe=1.366120611491722, total_time=0.15
[2023/05/18 15:25:02] steps=7500, sintel.clean=2.3700592517852783, sintel.final=3.6313233375549316
[2023/05/18 15:25:10] steps=7550, epe=1.339614445523558, total_time=0.23
[2023/05/18 15:25:17] steps=7600, epe=1.367771285092692, total_time=0.15
[2023/05/18 15:25:24] steps=7650, epe=1.3746679946963118, total_time=0.15
[2023/05/18 15:25:32] steps=7700, epe=1.3693919305313962, total_time=0.15
[2023/05/18 15:25:39] steps=7750, epe=1.3221450525517087, total_time=0.15
[2023/05/18 15:25:47] steps=7800, epe=1.3391386687644624, total_time=0.15
[2023/05/18 15:25:54] steps=7850, epe=1.298082963242281, total_time=0.15
[2023/05/18 15:26:01] steps=7900, epe=1.3046354268563685, total_time=0.15
[2023/05/18 15:26:09] steps=7950, epe=1.2797172224919697, total_time=0.15
[2023/05/18 15:26:16] steps=8000, epe=1.2682013604750713, total_time=0.15
[2023/05/18 15:26:23] steps=8050, epe=1.224301842346019, total_time=0.15
[2023/05/18 15:26:31] steps=8100, epe=1.1995083825565422, total_time=0.15
[2023/05/18 15:26:38] steps=8150, epe=1.188279856660642, total_time=0.15
[2023/05/18 15:26:45] steps=8200, epe=1.1633575458466612, total_time=0.15
[2023/05/18 15:26:53] steps=8250, epe=1.1641679953969422, total_time=0.15
[2023/05/18 15:27:00] steps=8300, epe=1.1300634039317863, total_time=0.15
[2023/05/18 15:27:07] steps=8350, epe=1.1036338569296338, total_time=0.15
[2023/05/18 15:27:15] steps=8400, epe=1.0740211751661624, total_time=0.15
[2023/05/18 15:27:22] steps=8450, epe=1.1961598671743812, total_time=0.15
[2023/05/18 15:27:30] steps=8500, epe=1.207629990881357, total_time=0.15
[2023/05/18 15:27:37] steps=8550, epe=1.1954531540051139, total_time=0.15
[2023/05/18 15:27:44] steps=8600, epe=1.1946498442532645, total_time=0.15
