[2023/05/11 09:26:49] start=0, train=2875, val=448, host=dgx-2.cluster, batch=4
[2023/05/11 09:26:49] batch=8, config='MaskFlownetSProb_sintel_noq.yaml', dataset_cfg='sintel_kitti2015_hd1k.yaml', chairs_hdd=False, shard=1, gpu_device='0,1', checkpoint='038May09-1453', clear_steps=True, network='MaskFlownetProb', debug=False, valid=False, predict=False, resize=''
[2023/05/11 09:27:09] steps=1, epe=4.274630982797989, total_time=0.00
[2023/05/11 09:27:42] steps=1, sintel.clean=2.122877359390259, sintel.final=4.556692123413086
[2023/05/11 09:27:42] steps=2, epe=4.350872129697538, total_time=52.47
[2023/05/11 09:27:42] steps=3, epe=3.2184664719788896, total_time=25.75
[2023/05/11 09:27:42] steps=4, epe=2.672903788849195, total_time=16.78
[2023/05/11 09:27:42] steps=5, epe=2.584618565536833, total_time=12.29
[2023/05/11 09:27:42] steps=6, epe=2.668484301449062, total_time=9.60
[2023/05/11 09:27:43] steps=7, epe=2.36174417803197, total_time=7.81
[2023/05/11 09:27:43] steps=8, epe=2.225798784449492, total_time=6.54
[2023/05/11 09:27:43] steps=9, epe=2.222908499960221, total_time=5.58
[2023/05/11 09:27:43] steps=10, epe=2.58970275672554, total_time=4.84
[2023/05/11 09:27:43] steps=11, epe=3.443390390900497, total_time=4.26
[2023/05/11 09:27:43] steps=12, epe=3.319604003111422, total_time=3.78
[2023/05/11 09:27:43] steps=13, epe=3.1674941051454244, total_time=3.38
[2023/05/11 09:27:43] steps=14, epe=2.9012724132271708, total_time=3.05
[2023/05/11 09:27:44] steps=15, epe=2.662978547916857, total_time=2.76
[2023/05/11 09:27:44] steps=16, epe=3.494674338498328, total_time=2.51
[2023/05/11 09:27:44] steps=17, epe=3.5684872669550964, total_time=2.30
[2023/05/11 09:27:44] steps=18, epe=3.301108146250611, total_time=2.12
[2023/05/11 09:27:44] steps=19, epe=3.2223671242441627, total_time=1.95
[2023/05/11 09:27:44] steps=20, epe=3.0700410957789335, total_time=1.80
[2023/05/11 09:27:48] steps=50, epe=2.8751775012723235, total_time=0.36
[2023/05/11 09:27:54] steps=100, epe=2.7412243851031435, total_time=0.14
[2023/05/11 09:28:00] steps=150, epe=2.590240465077533, total_time=0.12
[2023/05/11 09:28:06] steps=200, epe=2.5908392476993005, total_time=0.12
[2023/05/11 09:28:12] steps=250, epe=2.452832768825289, total_time=0.12
[2023/05/11 09:28:18] steps=300, epe=2.4074821926477474, total_time=0.12
[2023/05/11 09:28:24] steps=350, epe=2.2761546887940995, total_time=0.12
[2023/05/11 09:28:30] steps=400, epe=2.188479310866297, total_time=0.12
