[2024/04/25 14:31:43] start=0, train=5295, val=1300, host=kverulant, batch=4
[2024/04/25 14:31:43] batch=8, config='MaskFlownetProb_sintel_noq.yaml', dataset_cfg='movingcables.yaml', chairs_hdd=False, shard=1, gpu_device='0', checkpoint='99bMay18-1454', clear_steps=True, network='MaskFlownetProb', debug=False, valid=False, predict=False, resize=''
[2024/04/25 14:31:54] steps=1, epe=0.6802059943429443, total_time=0.00
[2024/04/25 14:32:50] steps=1, movingcables=0.4980620741844177
[2024/04/25 14:32:50] steps=2, epe=1.1494798744627215, total_time=66.91
[2024/04/25 14:32:51] steps=3, epe=1.0170115630781167, total_time=32.66
[2024/04/25 14:32:51] steps=4, epe=0.9573851697451408, total_time=21.28
[2024/04/25 14:32:51] steps=5, epe=1.476557506549387, total_time=15.60
[2024/04/25 14:32:51] steps=6, epe=1.597095646334335, total_time=12.20
[2024/04/25 14:32:51] steps=7, epe=1.6466235419099846, total_time=9.94
[2024/04/25 14:32:52] steps=8, epe=1.9606219242337664, total_time=8.32
[2024/04/25 14:32:52] steps=9, epe=1.8393892081798693, total_time=7.12
[2024/04/25 14:32:52] steps=10, epe=1.7120482112569253, total_time=6.18
[2024/04/25 14:32:52] steps=11, epe=1.6237130676898788, total_time=5.44
[2024/04/25 14:32:53] steps=12, epe=1.4974185907032707, total_time=4.83
[2024/04/25 14:32:53] steps=13, epe=1.3812631798677832, total_time=4.33
[2024/04/25 14:32:53] steps=14, epe=1.2888389514984715, total_time=3.90
[2024/04/25 14:32:53] steps=15, epe=1.2203150672902272, total_time=3.54
[2024/04/25 14:32:53] steps=16, epe=1.4003376028854477, total_time=3.23
[2024/04/25 14:32:54] steps=17, epe=1.6382006806996616, total_time=2.96
[2024/04/25 14:32:54] steps=18, epe=1.5444932162640825, total_time=2.73
[2024/04/25 14:32:54] steps=19, epe=1.819729403954745, total_time=2.52
[2024/04/25 14:32:54] steps=20, epe=1.856115288632349, total_time=2.33
[2024/04/25 14:33:00] steps=50, epe=1.7559767387488388, total_time=0.52
[2024/04/25 14:33:11] steps=100, epe=1.7081048173094668, total_time=0.23
[2024/04/25 14:33:21] steps=150, epe=1.6101229487762352, total_time=0.21
[2024/04/25 14:33:31] steps=200, epe=1.718638137356231, total_time=0.21
[2024/04/25 14:33:42] steps=250, epe=1.6599152973507718, total_time=0.21
[2024/04/25 14:33:52] steps=300, epe=1.6720712153979824, total_time=0.21
[2024/04/25 14:34:03] steps=350, epe=1.873297915333174, total_time=0.21
[2024/04/25 14:34:13] steps=400, epe=1.8065422382128469, total_time=0.21
[2024/04/25 14:34:23] steps=450, epe=1.7454357116493058, total_time=0.21
[2024/04/25 14:34:34] steps=500, epe=1.664067914127091, total_time=0.21
[2024/04/25 14:34:44] steps=550, epe=1.5835343992924644, total_time=0.21
[2024/04/25 14:34:55] steps=600, epe=1.5311761046602888, total_time=0.21
[2024/04/25 14:35:05] steps=650, epe=1.4863174143695035, total_time=0.21
[2024/04/25 14:35:16] steps=700, epe=1.4239129124697, total_time=0.21
[2024/04/25 14:35:26] steps=750, epe=1.364173290859676, total_time=0.21
[2024/04/25 14:35:37] steps=800, epe=1.319969381297432, total_time=0.21
[2024/04/25 14:35:47] steps=850, epe=1.9452084042144473, total_time=0.21
[2024/04/25 14:35:58] steps=900, epe=1.9309540980033844, total_time=0.21
[2024/04/25 14:36:08] steps=950, epe=1.980160778985667, total_time=0.21
[2024/04/25 14:36:19] steps=1000, epe=1.9116615361459939, total_time=0.21
[2024/04/25 14:36:29] steps=1050, epe=1.8251210255045698, total_time=0.21
[2024/04/25 14:36:40] steps=1100, epe=1.7560940566153942, total_time=0.21
[2024/04/25 14:36:50] steps=1150, epe=1.6844363327975258, total_time=0.21
[2024/04/25 14:37:01] steps=1200, epe=1.6073087308539369, total_time=0.21
[2024/04/25 14:37:11] steps=1250, epe=1.5427927777241275, total_time=0.21
[2024/04/25 14:37:22] steps=1300, epe=1.4833117331885461, total_time=0.21
[2024/04/25 14:37:33] steps=1350, epe=1.5375290238083876, total_time=0.21
[2024/04/25 14:37:43] steps=1400, epe=1.5346980988468977, total_time=0.21
[2024/04/25 14:37:54] steps=1450, epe=1.4963574906973824, total_time=0.21
[2024/04/25 14:38:04] steps=1500, epe=1.4463202341895165, total_time=0.21
[2024/04/25 14:38:15] steps=1550, epe=1.4077659270230871, total_time=0.21
[2024/04/25 14:38:25] steps=1600, epe=1.3933519014306759, total_time=0.21
[2024/04/25 14:38:36] steps=1650, epe=1.3440300203023685, total_time=0.21
[2024/04/25 14:38:46] steps=1700, epe=1.501073471571086, total_time=0.21
[2024/04/25 14:38:57] steps=1750, epe=1.7254058738624567, total_time=0.21
[2024/04/25 14:39:08] steps=1800, epe=1.6853859710403942, total_time=0.21
[2024/04/25 14:39:18] steps=1850, epe=1.6094575107836522, total_time=0.21
[2024/04/25 14:39:29] steps=1900, epe=1.5597614132504276, total_time=0.21
[2024/04/25 14:39:39] steps=1950, epe=1.5139636629146402, total_time=0.21
[2024/04/25 14:39:50] steps=2000, epe=1.4727822112792688, total_time=0.21
[2024/04/25 14:40:01] steps=2050, epe=1.4125148514068595, total_time=0.21
[2024/04/25 14:40:11] steps=2100, epe=1.3573668897500613, total_time=0.21
[2024/04/25 14:40:22] steps=2150, epe=1.3284452618037765, total_time=0.21
[2024/04/25 14:40:32] steps=2200, epe=1.508010918573705, total_time=0.21
[2024/04/25 14:40:43] steps=2250, epe=1.4748191544906186, total_time=0.21
[2024/04/25 14:40:53] steps=2300, epe=1.4287189461001268, total_time=0.21
[2024/04/25 14:41:04] steps=2350, epe=1.3812332800859284, total_time=0.21
[2024/04/25 14:41:14] steps=2400, epe=1.346146625078797, total_time=0.21
[2024/04/25 14:41:24] steps=2450, epe=1.298240762999937, total_time=0.21
[2024/04/25 14:41:35] steps=2500, epe=1.242538255258581, total_time=0.21
[2024/04/25 14:42:14] steps=2500, movingcables=0.3956120014190674
[2024/04/25 14:42:24] steps=2550, epe=1.2128016471557912, total_time=0.37
[2024/04/25 14:42:35] steps=2600, epe=1.2115503078239862, total_time=0.22
[2024/04/25 14:42:45] steps=2650, epe=1.1716385669844034, total_time=0.21
[2024/04/25 14:42:56] steps=2700, epe=1.199547938766445, total_time=0.21
[2024/04/25 14:43:06] steps=2750, epe=1.184502776193651, total_time=0.21
[2024/04/25 14:43:17] steps=2800, epe=1.14727583358896, total_time=0.21
[2024/04/25 14:43:28] steps=2850, epe=1.1692325111161608, total_time=0.21
[2024/04/25 14:43:38] steps=2900, epe=1.1442558792955961, total_time=0.21
[2024/04/25 14:43:49] steps=2950, epe=1.1512706948488838, total_time=0.21
[2024/04/25 14:43:59] steps=3000, epe=1.1324871106574859, total_time=0.21
[2024/04/25 14:44:10] steps=3050, epe=1.0916781876595685, total_time=0.21
[2024/04/25 14:44:21] steps=3100, epe=1.0848653620179391, total_time=0.21
[2024/04/25 14:44:31] steps=3150, epe=1.0629072846941516, total_time=0.21
[2024/04/25 14:44:42] steps=3200, epe=1.0354678589512107, total_time=0.21
[2024/04/25 14:44:52] steps=3250, epe=0.9936358628801276, total_time=0.21
[2024/04/25 14:45:03] steps=3300, epe=0.9765147224424613, total_time=0.21
[2024/04/25 14:45:14] steps=3350, epe=0.9423384975002533, total_time=0.21
[2024/04/25 14:45:24] steps=3400, epe=0.9436344905886722, total_time=0.21
[2024/04/25 14:45:35] steps=3450, epe=0.9276324595804808, total_time=0.21
[2024/04/25 14:45:45] steps=3500, epe=0.9686311535613434, total_time=0.21
[2024/04/25 14:45:56] steps=3550, epe=0.9844292179125727, total_time=0.21
[2024/04/25 14:46:07] steps=3600, epe=0.9478991787875418, total_time=0.21
[2024/04/25 14:46:17] steps=3650, epe=0.9374411209591846, total_time=0.21
[2024/04/25 14:46:28] steps=3700, epe=0.951398519985568, total_time=0.21
[2024/04/25 14:46:38] steps=3750, epe=0.9635504596635726, total_time=0.21
[2024/04/25 14:46:49] steps=3800, epe=0.9540696821958415, total_time=0.21
[2024/04/25 14:47:00] steps=3850, epe=0.9620407316279992, total_time=0.21
[2024/04/25 14:47:10] steps=3900, epe=0.9515521025172111, total_time=0.21
[2024/04/25 14:47:21] steps=3950, epe=0.9584862603037304, total_time=0.21
[2024/04/25 14:47:32] steps=4000, epe=0.9317438661513229, total_time=0.21
[2024/04/25 14:47:42] steps=4050, epe=0.9125856493589879, total_time=0.21
[2024/04/25 14:47:53] steps=4100, epe=0.8865346658876411, total_time=0.21
[2024/04/25 14:48:03] steps=4150, epe=0.8947045010426293, total_time=0.21
[2024/04/25 14:48:14] steps=4200, epe=0.8810951874524093, total_time=0.21
[2024/04/25 14:48:25] steps=4250, epe=0.8797049558101706, total_time=0.21
[2024/04/25 14:48:35] steps=4300, epe=0.8830670024377699, total_time=0.21
[2024/04/25 14:48:46] steps=4350, epe=0.9000003185259584, total_time=0.21
[2024/04/25 14:48:56] steps=4400, epe=0.927498574523546, total_time=0.21
[2024/04/25 14:49:07] steps=4450, epe=0.9115101941174719, total_time=0.21
[2024/04/25 14:49:18] steps=4500, epe=0.899808407264585, total_time=0.21
[2024/04/25 14:49:28] steps=4550, epe=0.8843898340655986, total_time=0.21
[2024/04/25 14:49:39] steps=4600, epe=0.8623520661112699, total_time=0.21
[2024/04/25 14:49:50] steps=4650, epe=0.8642352019988668, total_time=0.21
[2024/04/25 14:50:00] steps=4700, epe=0.8512525699920871, total_time=0.21
[2024/04/25 14:50:11] steps=4750, epe=0.8555206918082008, total_time=0.21
[2024/04/25 14:50:22] steps=4800, epe=0.8562860803650658, total_time=0.21
[2024/04/25 14:50:32] steps=4850, epe=0.9838785803069855, total_time=0.21
[2024/04/25 14:50:43] steps=4900, epe=0.9688655162871298, total_time=0.21
[2024/04/25 14:50:53] steps=4950, epe=1.0465933069018063, total_time=0.21
[2024/04/25 14:51:04] steps=5000, epe=1.0259304645340424, total_time=0.21
[2024/04/25 14:51:43] steps=5000, movingcables=0.3589726388454437
[2024/04/25 14:51:53] steps=5050, epe=0.9878172403962229, total_time=0.37
[2024/04/25 14:52:04] steps=5100, epe=0.9807319016169443, total_time=0.22
[2024/04/25 14:52:15] steps=5150, epe=0.9649049258362743, total_time=0.21
[2024/04/25 14:52:25] steps=5200, epe=0.9501771950644226, total_time=0.21
[2024/04/25 14:52:36] steps=5250, epe=0.9157951985057733, total_time=0.21
[2024/04/25 14:52:46] steps=5300, epe=0.8821163329342989, total_time=0.21
[2024/04/25 14:52:57] steps=5350, epe=0.8950909183540158, total_time=0.21
[2024/04/25 14:53:08] steps=5400, epe=0.9027506435718337, total_time=0.21
[2024/04/25 14:53:18] steps=5450, epe=1.0505600559252595, total_time=0.21
[2024/04/25 14:53:29] steps=5500, epe=1.0159928190369283, total_time=0.21
[2024/04/25 14:53:40] steps=5550, epe=1.0221267203624806, total_time=0.21
[2024/04/25 14:53:50] steps=5600, epe=1.0286338707792937, total_time=0.21
[2024/04/25 14:54:01] steps=5650, epe=1.0109486001123984, total_time=0.21
[2024/04/25 14:54:11] steps=5700, epe=1.0113743108595106, total_time=0.21
[2024/04/25 14:54:22] steps=5750, epe=0.9718690252592286, total_time=0.21
[2024/04/25 14:54:33] steps=5800, epe=0.9719686444826512, total_time=0.21
[2024/04/25 14:54:43] steps=5850, epe=1.0011073490084004, total_time=0.21
[2024/04/25 14:54:54] steps=5900, epe=1.404152850232287, total_time=0.21
[2024/04/25 14:55:04] steps=5950, epe=1.380192060584884, total_time=0.21
[2024/04/25 14:55:15] steps=6000, epe=1.3354242169424955, total_time=0.21
[2024/04/25 14:55:26] steps=6050, epe=1.2900642984560293, total_time=0.21
[2024/04/25 14:55:36] steps=6100, epe=1.2520498796699377, total_time=0.21
[2024/04/25 14:55:47] steps=6150, epe=1.2041486221883229, total_time=0.21
[2024/04/25 14:55:57] steps=6200, epe=1.3019770742796763, total_time=0.21
[2024/04/25 14:56:08] steps=6250, epe=1.256867146689049, total_time=0.21
[2024/04/25 14:56:19] steps=6300, epe=1.2162229530281732, total_time=0.21
[2024/04/25 14:56:29] steps=6350, epe=1.1777450679105177, total_time=0.21
[2024/04/25 14:56:40] steps=6400, epe=1.1480052543725594, total_time=0.21
[2024/04/25 14:56:50] steps=6450, epe=1.2862841366250202, total_time=0.21
[2024/04/25 14:57:02] steps=6500, epe=1.2540932461306458, total_time=0.21
[2024/04/25 14:57:12] steps=6550, epe=1.2372474847494173, total_time=0.21
[2024/04/25 14:57:23] steps=6600, epe=1.2459816711270375, total_time=0.21
[2024/04/25 14:57:33] steps=6650, epe=1.1991863968251109, total_time=0.21
[2024/04/25 14:57:44] steps=6700, epe=1.1629517450760043, total_time=0.21
[2024/04/25 14:57:55] steps=6750, epe=1.1211037430692707, total_time=0.21
[2024/04/25 14:58:05] steps=6800, epe=1.2052472480360412, total_time=0.21
[2024/04/25 14:58:16] steps=6850, epe=1.179226089054958, total_time=0.21
[2024/04/25 14:58:26] steps=6900, epe=1.205309815741689, total_time=0.21
[2024/04/25 14:58:37] steps=6950, epe=1.189455217024848, total_time=0.21
[2024/04/25 14:58:48] steps=7000, epe=1.1996276672909982, total_time=0.21
[2024/04/25 14:58:58] steps=7050, epe=1.2119164879507986, total_time=0.21
[2024/04/25 14:59:09] steps=7100, epe=1.1724193058386492, total_time=0.21
[2024/04/25 14:59:20] steps=7150, epe=1.1656008236321562, total_time=0.21
[2024/04/25 14:59:30] steps=7200, epe=1.1382772926218447, total_time=0.21
[2024/04/25 14:59:41] steps=7250, epe=1.093283880551015, total_time=0.21
[2024/04/25 14:59:51] steps=7300, epe=1.0918324434888476, total_time=0.21
[2024/04/25 15:00:02] steps=7350, epe=1.1531839109824518, total_time=0.21
[2024/04/25 15:00:13] steps=7400, epe=1.1702115463100706, total_time=0.21
[2024/04/25 15:00:23] steps=7450, epe=1.2062931625217739, total_time=0.21
[2024/04/25 15:00:34] steps=7500, epe=1.2411555241683894, total_time=0.21
[2024/04/25 15:01:12] steps=7500, movingcables=0.3592219054698944
[2024/04/25 15:01:23] steps=7550, epe=1.2298098785359037, total_time=0.37
[2024/04/25 15:01:33] steps=7600, epe=1.2144801059899886, total_time=0.22
[2024/04/25 15:01:44] steps=7650, epe=1.2300041067724912, total_time=0.21
[2024/04/25 15:01:55] steps=7700, epe=1.1987255154936547, total_time=0.21
[2024/04/25 15:02:05] steps=7750, epe=1.1610200756761393, total_time=0.21
[2024/04/25 15:02:16] steps=7800, epe=1.1917540407654734, total_time=0.21
[2024/04/25 15:02:27] steps=7850, epe=1.1634171005380143, total_time=0.21
[2024/04/25 15:02:37] steps=7900, epe=1.1260315009006097, total_time=0.21
[2024/04/25 15:02:48] steps=7950, epe=1.0961020019711964, total_time=0.21
[2024/04/25 15:02:58] steps=8000, epe=1.086045834182821, total_time=0.21
